url,ticket,nat,home,job
/titanic-victim/john-hugo-ross.html,13049,Canadian,"Winnipeg, Manitoba, Canada",
/titanic-survivor/countess-of-rothes.html,110152,English,"London, England",Of Independent Means
/titanic-victim/martin-rothschild.html,17603,American,"753 West End Avenue New York City, New York, United States",
/titanic-survivor/elizabeth-jane-anne-rothschild.html,17603,American,"New York City, New York, United States",
/titanic-victim/alfred-rowe.html,113790,"Peruvian
 English",,Landowner
/titanic-survivor/suzette-ryerson.html,17608,American,"Cooperstown, New York, United States",
/titanic-survivor/emily-ryerson.html,17608,American,"Gray?s Lane Haverford, Pennsylvania, United States",
/titanic-survivor/john-borie-ryerson.html,17608,American,"Cooperstown, New York, United States",
/titanic-survivor/emily-borie-ryerson.html,17608,American,"Cooperstown, New York, United States",
/titanic-victim/arthur-ryerson.html,17608,American,"Cooperstown, New York, United States",
/titanic-survivor/adolphe-saalfeld.html,19988,German,"Manchester, England",Businessman
/titanic-survivor/emma-sagesser.html,17477,Swiss,,Personal Maid       to Mme. Léontine Pauline  Aubart
/titanic-survivor/abraham-salomon.html,111163,American,"New York City, New York, United States",Businessman
/titanic-survivor/emma-schabert.html,13236,American,"Hamburg, Germany",
/titanic-survivor/auguste-serreplan.html,113798,French,,Personal Maid       to Mrs Lucile Carter
/titanic-survivor/frederic-kimber-seward.html,113794,American,"New York City, New York, United States",Lawyer
/titanic-survivor/elizabeth-weed-shutes.html,17582,American,"New York City, New York, United States",Governess
/titanic-survivor/spencer-victor-silverthorne.html,17475,Canadian,"St. Louis, Missouri, United States",
/titanic-victim/william-baird-silvey.html,13507,American,"Duluth, Minnesota, United States",Businessman
/titanic-survivor/alice-silvey.html,13507,American,"Duluth, Minnesota, United States",
/titanic-survivor/alfons-simonius-blumer.html,13213,Swiss,"Basel, Switzerland",Banker
/titanic-survivor/william-thompson-sloper.html,113788,American,"New Britain, Connecticut, United States",Stockbroker
/titanic-victim/john-montgomery-smart.html,113792,American,"Kildale, Yorkshire, England",
/titanic-victim/james-clinch-smith.html,17764,American,"Paris, France",Military
/titanic-victim/lucian-philip-smith.html,13695,American,"Morgantown, West Virginia, United States",
/titanic-survivor/mary-eloise-smith.html,13695,American,"Huntington, West Virginia, United States",
/titanic-victim/richard-william-smith.html,113056,English,"Streatham, London, England",
/titanic-survivor/john-pillsbury-snyder.html,21228,American,"Minneapolis, Minnesota, United States",
/titanic-survivor/nelle-snyder.html,21228,American,"Minneapolis, Minnesota, United States",
/titanic-survivor/frederic-oakley-spedden.html,16966,American,"Tuxedo Park, New York, United States",
/titanic-survivor/margaretta-corning-spedden.html,16966,American,"Tuxedo Park, New York, United States",
/titanic-survivor/robert-douglas-spedden.html,16966,American,"Tuxedo Park, New York, United States",
/titanic-victim/william-augustus-spencer.html,17569,American,"New York City, New York, United States",
/titanic-survivor/marie-eugenie-spencer.html,17569,French,"New York City, New York, United States",
/titanic-survivor/max-stahelin-maeglin.html,13214,Swiss,"Basel, Switzerland",Lawyer
/titanic-victim/william-thomas-stead.html,113514,English,"London, England",Journalist
/titanic-survivor/charles-stengel.html,11778,American,"Newark, New Jersey, United States",Businessman
/titanic-survivor/annie-may-stengel.html,11778,American,"Newark, New Jersey, United States",
/titanic-survivor/martha-stephenson.html,36947,American,"Paris, France",
/titanic-victim/albert-stewart.html,17605,American,"Cincinnati, Ohio, United States",Businessman
/titanic-survivor/martha-evelyn-stone.html,113572,American,"New York City, New York, United States",
/titanic-victim/isidor-straus.html,17483,"German
 American","New York City, New York, United States",Businessman
/titanic-victim/ida-straus.html,17483,German,"New York City, New York, United States",
/titanic-victim/frederick-sutton.html,36963,English,"Haddonfield, New Jersey, United States",Property Developer / Real Estate
/titanic-survivor/margaret-welles-swift.html,17466,American,"New York City, New York, United States",
/titanic-survivor/ruth-taussig.html,110413,American,"New York City, New York, United States",
/titanic-victim/emil-taussig.html,110413,"Austrian
 American","New York City, New York, United States",Manufacturer
/titanic-survivor/tillie-taussig.html,110413,American,"New York City, New York, United States",
/titanic-survivor/juliet-cummins-taylor.html,19996,American,"East Orange, New Jersey, United States",
/titanic-survivor/elmer-zebley-taylor.html,19996,American,"East Orange, New Jersey, United States",Manufacturer
/titanic-survivor/john-borland-thayer-jr.html,17421,American,"Haverford, Pennsylvania, United States",Scholar
/titanic-victim/john-borland-thayer.html,17421,American,"Haverford, Pennsylvania, United States",Businessman
/titanic-survivor/marian-thayer.html,17421,American,"Haverford, Pennsylvania, United States",
/titanic-survivor/gertrude-maybelle-thorne.html,17585,American,"New York City, New York, United States",
/titanic-survivor/gilbert-milligan-jr-tucker.html,2543,American,"Albany, New York, United States",
/titanic-victim/manuel-uruchurtu.html,17601,Mexican,"Mexico City, Mexico",Lawyer
/titanic-victim/wyckoff-van-der-hoef.html,111240,American,"Brooklyn, New York, United States",Businessman
/titanic-victim/william-anderson-walker.html,36967,"English
 American","East Orange, New Jersey, United States",
/titanic-survivor/annie-moore-ward.html,17755,"Scottish
 American",,Personal Maid       to Mrs Charlotte Wardle Cardeza
/titanic-victim/frank-manley-warren.html,110813,American,"Portland, Oregon, United States",
/titanic-survivor/anna-sophia-warren.html,110813,American,"Portland, Oregon, United States",
/titanic-victim/john-weir.html,113800,Scottish,"New York City, New York, United States",Mining Engineer
/titanic-survivor/ella-white.html,17760,American,,
/titanic-victim/percival-wayland-white.html,35281,American,"Brunswick, Maine, United States",Manufacturer
/titanic-victim/richard-frasar-white.html,35281,American,"Brunswick, Maine, United States",
/titanic-survivor/mary-wick.html,36928,American,"Youngstown, Ohio, United States",
/titanic-survivor/mary-natalie-wick.html,36928,American,"Youngstown, Ohio, United States",
/titanic-victim/george-dennick-wick.html,36928,American,"Youngstown, Ohio, United States",
